step,train_loss,test_loss,reg,subnode_act_mean,edge_act_mean,act_scale_mean,act_scale_spline_mean,coef_mean
0,3.740313582186549e-06,0.008614728851094492,100.6869817672869,23.755525240150934,17.55804680874025,24.094371870181178,24.094371870181178,4.009204989360657
1,3.2344731320016653e-12,0.01918536329954649,251.4770398821747,60.933258085538796,44.794824506924215,61.64961097153443,61.64961097153443,6.4398165823451485
2,1.5543122344752188e-18,0.027194301973548066,400.6794114587332,97.68697713604709,71.74376089786891,98.81726125283895,98.81726125283895,8.154282277109779
3,0.0,0.028136700601628352,426.53885941742635,104.02096037361588,76.4185174800917,105.25949252758375,105.25949252758375,8.41566365905638
4,0.0,0.028136700601628352,426.53885941742675,104.02096037361588,76.4185174800917,105.25949252758375,105.25949252758375,8.41566365905638
5,0.0,0.02813670060162838,426.53885941742664,104.02096037361588,76.41851748009171,105.2594925275838,105.2594925275838,8.415663659056397
6,0.0,0.02813670060162838,426.5388594174266,104.02096037361588,76.41851748009171,105.2594925275838,105.2594925275838,8.415663659056397
7,0.0,0.02813670060162838,426.53885941742664,104.02096037361588,76.41851748009171,105.2594925275838,105.2594925275838,8.415663659056397
8,0.0,0.02813670060162838,426.5388594174265,104.02096037361588,76.41851748009171,105.2594925275838,105.2594925275838,8.415663659056397
9,0.0,0.02813670060162838,426.5388594174266,104.02096037361588,76.41851748009171,105.2594925275838,105.2594925275838,8.415663659056397
10,0.0,0.10417825716994315,732.7799990444394,179.94741071721575,130.16104193081298,181.6637487576931,181.6637487576931,11.278278674329215
11,0.0,0.10417825716994315,732.7799990444397,179.94741071721575,130.16104193081298,181.6637487576931,181.6637487576931,11.278278674329215
12,0.0,0.10417825716994315,732.7799990444397,179.94741071721575,130.16104193081298,181.6637487576931,181.6637487576931,11.278278674329215
13,0.0,0.10417825716994315,732.7799990444395,179.94741071721575,130.16104193081298,181.6637487576931,181.6637487576931,11.278278674329215
14,0.0,0.10417825716994315,732.7799990444394,179.94741071721575,130.16104193081298,181.6637487576931,181.6637487576931,11.278278674329215
15,0.0,0.10417825716994313,732.779999044439,179.94741071721577,130.161041930813,181.66374875769316,181.66374875769316,11.27827867432923
16,0.0,0.10417825716994313,732.7799990444397,179.94741071721577,130.161041930813,181.66374875769316,181.66374875769316,11.27827867432923
17,0.0,0.10417825716994313,732.7799990444395,179.94741071721577,130.161041930813,181.66374875769316,181.66374875769316,11.27827867432923
18,0.0,0.10417825716994313,732.7799990444395,179.94741071721577,130.161041930813,181.66374875769316,181.66374875769316,11.27827867432923
19,0.0,0.10417825716994313,732.7799990444393,179.94741071721577,130.161041930813,181.66374875769316,181.66374875769316,11.27827867432923
