step,train_loss,test_loss,reg,subnode_act_mean,edge_act_mean,act_scale_mean,act_scale_spline_mean,coef_mean
0,2.2686525442587104e-05,0.007394501937475092,76.88783103654845,17.635189372035384,13.179699398882152,18.16253392124105,18.16253392124105,3.4257082582375262
1,2.5595080171850773e-11,0.01645745002261175,220.81610781252652,52.28213696356969,39.02972736792819,54.022680101911604,54.022680101911604,6.010094721963565
2,4.9293902293356575e-17,0.022517914190741724,351.3992573203325,83.47560488445622,62.40926656459541,86.56489872807217,86.56489872807217,7.6160225781573345
3,0.0,0.024138300598253816,406.08231371567575,96.50606614365952,72.22318563817237,100.19601665381445,100.19601665381445,8.204802593895884
4,0.0,0.024138300598253812,406.0823137156761,96.50606614365952,72.22318563817237,100.19601665381445,100.19601665381445,8.204802593895884
5,0.0,0.02413830059825383,406.08231371567575,96.50606614365954,72.22318563817237,100.19601665381447,100.19601665381447,8.204802593895893
6,0.0,0.024138300598253826,406.0823137156759,96.50606614365954,72.22318563817237,100.19601665381447,100.19601665381447,8.204802593895893
7,0.0,0.024138300598253826,406.08231371567587,96.50606614365954,72.22318563817237,100.19601665381447,100.19601665381447,8.204802593895893
8,0.0,0.02413830059825383,406.082313715676,96.50606614365954,72.22318563817237,100.19601665381447,100.19601665381447,8.204802593895893
9,0.0,0.02413830059825383,406.08231371567587,96.50606614365954,72.22318563817237,100.19601665381447,100.19601665381447,8.204802593895893
10,0.0,0.1447623091264003,1919.5899254213175,458.9731719815163,341.30741737816777,477.9899172519556,477.9899172519556,18.16306691845085
11,0.0,0.1447623091264003,1919.589925421318,458.9731719815163,341.30741737816777,477.9899172519556,477.9899172519556,18.16306691845085
12,0.0,0.1447623091264003,1919.5899254213177,458.9731719815163,341.30741737816777,477.9899172519556,477.9899172519556,18.16306691845085
13,0.0,0.1447623091264003,1919.589925421317,458.9731719815163,341.30741737816777,477.9899172519556,477.9899172519556,18.16306691845085
14,0.0,0.1447623091264003,1919.589925421317,458.9731719815163,341.30741737816777,477.9899172519556,477.9899172519556,18.16306691845085
15,0.0,0.14476230912640087,1919.5899254213173,458.97317198151654,341.3074173781679,477.98991725195583,477.98991725195583,18.163066918450884
16,0.0,0.14476230912640087,1919.5899254213175,458.97317198151654,341.3074173781679,477.98991725195583,477.98991725195583,18.163066918450884
17,0.0,0.14476230912640087,1919.589925421318,458.97317198151654,341.3074173781679,477.98991725195583,477.98991725195583,18.163066918450884
18,0.0,0.14476230912640087,1919.5899254213177,458.97317198151654,341.3074173781679,477.98991725195583,477.98991725195583,18.163066918450884
19,0.0,0.14476230912640087,1919.5899254213166,458.97317198151654,341.3074173781679,477.98991725195583,477.98991725195583,18.163066918450884
